date_key,inflation_pct,gdp_growth_pct,gdp_usd,foreign_reserves_usd,imports_usd,exports_usd
201906,9.152799593,5.552093072,318679000000.0,44568837112.0,78012528474.0,53041002278.0
202006,5.04493289,3.550164838,383818000000.0,38972812937.0,75433562071.0,47872738615.0
202106,5.214049405,3.290646012,424672000000.0,39824388217.0,81943913321.0,44850223072.0
202206,13.89566098,6.587845609,476748000000.0,32143926008.0,104389000000.0,71927051672.0
202306,33.88477631,3.760280523,395926000000.0,33070180836.0,84507686603.0,75645997562.0
202406,28.27058993,2.399169268,389060000000.0,44921341018.0,90357257459.0,63713393368.0
202506,14.1,4.4,347000000000.0,51452000000.0,95000000000.0,65000000000.0
